id,artist,album,track,genre,length,year
1,The Beatles,Revolver,Taxman,Classic Rock,2:36,1966
2,The Beatles ,Revolver,Eleanor Rigby,Classic Rock,2:11,1966
3,The Beatles,Revolver,I'm Only Sleeping,Classic Rock,2:58,1966
4,The Beatles,Revolver,Love You To,Classic Rock,3:00,1966
5,The Beatles,Revolver,Here There and Everywhere,Classic Rock,2:29,1966
6,The Beatles,Revolver,Yellow Submarine,Classic Rock,2:40,1966
7,The Beatles,Revolver,She Said She Said,Classic Rock,2:39,1966
8,The Beatles,Abbey Road,Come Together,Classic Rock,4:19,1969
9,The Beatles,Abbey Road,Something,Classic Rock,3:02,1969
10,The Beatles,Abbey Road,Maxwell's Silver Hammer,Classic Rock,3:27,1969
11,The Beatles,Abbey Road,"Oh! Darling",Classic Rock,3:27,1969
12,The Beatles,Abbey Road,"Octopus's Garden",Classic Rock,2:51,1969
13,The Beatles,Abbey Road,I Want You (She's So Heavy),Classic Rock,7:47,1969
14,The Beatles,Abbey Road,Here Comes the Sun,Classic Rock,3:05,1969
15,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band",Sgt. Pepper's Lonely Hearts Club Band,Classic Rock,2:00,1967
16,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band",With a Little Help from My Friends,Classic Rock,2:42,1967
17,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band",Lucy in the Sky with Diamonds,Classic Rock,3:28,1967
18,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band",Getting Better,Classic Rock,2:48,1967
19,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band",Fixing a Hole,Classic Rock,2:36,1967
20,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band","She's Leaving Home",Classic Rock,3:35,1967
21,The Beatles,"Sgt. Pepper's Lonely Hearts Club Band","Being for the Benefit of Mr. Kite!",Classic Rock,2:37,1967
